date,max_temp,min_temp
2021-05-01,29.0,16.6
2021-05-02,25.7,13.2
2021-05-03,24.1,14.3
2021-05-04,28.4,16.6
2021-05-05,28.8,16.9
2021-05-06,29.3,16.9
2021-05-07,26.8,15.9
2021-05-08,27.5,14.5
2021-05-09,28.0,17.5
2021-05-10,27.2,15.1
2021-05-11,28.9,18.5
2021-05-12,30.1,18.1
2021-05-13,31.0,19.3
2021-05-14,30.6,18.8
2022-05-01,27.2,12.7
2022-05-02,26.9,12.5
2022-05-03,23.9,12.3
2022-05-04,24.8,11.6
2022-05-05,29.4,15.8
2022-05-06,29.8,16.9
2022-05-07,27.7,16.2
2022-05-08,21.1,10.8
2022-05-09,19.2,7.4
2022-05-10,20.1,8.0
2022-05-11,16.7,3.5
2022-05-12,21.3,6.3
2022-05-13,27.7,11.8
2022-05-14,32.0,18.0
2023-05-01,23.0,8.4
2023-05-02,19.0,7.6
2023-05-03,18.7,7.6
2023-05-04,13.3,5.9
2023-05-05,16.5,5.7
2023-05-06,19.2,7.5
2023-05-07,21.7,9.0
2023-05-08,24.0,11.9
2023-05-09,23.1,9.9
2023-05-10,21.1,7.2
2023-05-11,24.6,11.3
2023-05-12,27.8,15.9
2023-05-13,29.3,16.8
2023-05-14,30.3,19.1
2024-05-01,26.0,12.1
2024-05-02,27.5,14.2
2024-05-03,27.1,13.1
2024-05-04,25.4,12.7
2024-05-05,16.5,9.1
2024-05-06,22.6,5.7
2024-05-07,26.1,11.1
2024-05-08,20.6,11.5
2024-05-09,22.4,10.2
2024-05-10,24.4,11.3
2024-05-11,25.6,14.1
2024-05-12,29.5,16.2
2024-05-13,30.6,18.2
2024-05-14,29.2,17.6
2025-05-01,25.6,15.2
2025-05-02,27.3,15.7
2025-05-03,25.9,14.3
2025-05-04,18.6,11.0
2025-05-05,18.2,10.4
2025-05-06,20.9,10.5
2025-05-07,21.5,10.9
2025-05-08,26.9,14.6
2025-05-09,30.9,18.8
2025-05-10,33.3,21.1
2025-05-11,33.2,21.3
2025-05-12,25.2,13.6
2025-05-13,19.7,9.5
2025-05-14,22.4,9.5
